time,VOcean,OceanNFraction,OceanNMass,CrustNFraction,CrustNMass,AtmosphereNFraction,AtmosphereNMass,MantleNFraction,MantleNMass,NMassTotal
0,18.113943352306837,19.530507054537143,0.0007074637424832008,16.380211241711606,0.05600754627992001,18.27875360095283,0.8253743662304007,19.44715803134222,0.11791062374720007,18.602059991327963
1,18.113943352306837,19.530507054537143,Inf,548168.1453123611,1.4300126418042606e-11,8.68584693133197,0.0,-548109.7939875862,1067.0505299615218,22.55869204037572
2,18.113943352306837,19.530507054537143,0.0,-1.5485235885224842e10,4.888145109384873e-21,-0.7803488555790761,Inf,1.5485235966094482e10,7.085383464295868e6,26.38087041397893
3,18.113943352306837,19.530507054537143,Inf,4.374899049880945e14,1.816842374308114e-30,-10.210175695060524,0.0,-4.374899049879911e14,4.594272303075562e10,30.192723786845523
4,18.113943352306837,19.530507054537143,0.0,-1.2359993569788887e19,7.977155417856254e-40,-19.567644892027666,Inf,1.2359993569788887e19,2.4611069105241016e14,33.92163753440906
5,18.113943352306837,19.530507054537143,Inf,3.491953512605417e23,3.250641527582857e-49,-28.95752386620866,0.0,-3.491953512605417e23,1.4496084673312945e18,37.69175777164176
6,18.113943352306837,19.530507054537143,0.0,-9.86549003067611e27,1.3419005607160973e-58,-38.3417726110996,Inf,9.86549003067611e27,8.000676611793343e21,41.43363377107191
7,18.113943352306837,19.530507054537143,Inf,2.787204732079935e32,7.905163361746418e-68,-47.57158209632152,0.0,-2.787204732079935e32,3.2671479269671286e25,45.04467585305027
8,18.113943352306837,19.530507054537143,0.0,-7.874429140745265e36,4.02847496251085e-77,-56.864352276670374,Inf,7.874429140745265e36,1.447096305247908e29,48.69100448921249
9,18.113943352306837,19.530507054537143,Inf,2.224688899919674e41,1.4762605029672689e-86,-66.30032994500928,0.0,-2.224688899919674e41,9.128790560838256e32,52.49092029783848
